Код;Артикул;Артикул1;Артикул2;Номенклатура;Артикул производителя;Группа доступа;Производитель
000043257;Cummins-1601Z56-130;Cummins;1601Z56-130;Диск сцепления ведомый Камаз-4308 4936134/942719/1601Z56-130 (Cummins);;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000063119;CREATEK-CK8037;CREATEK;CK8037;Ремень 10*1075 SHAANXI 61200090187;CK8037;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000066077;CREATEK-81.50221.0535;CREATEK;81.50221.0535;Накладка тормозная передняя 1 ( 8 отв. ) F2000 F3000 SHAANXI 81.50221.0535;81.50221.0535;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000066112;CREATEK-CK8164;CREATEK;CK8164;Цилиндр сцепления главный (ГЦС) SHAANXI DZ9114230020;CK8164;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000125991;CREATEK-AZ19036311080;CREATEK;AZ19036311080;Крестовина карданного вала 57х144 (16000068) HOWO,DONG FENG,FAW,MAN,RENAULT,VOLVO,DAF,MB;AZ19036311080;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000126480;CREATEK-DZ1640440015;CREATEK;DZ1640440015;Амортизатор кабины задний ухо/ухо F2000 F3000 DZ1640430015 SHAANXI DZ1640440015;DZ1640440015;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000126580;CREATEK-CK8203;CREATEK;CK8203;Корзина сцепления в сборе 430 нажимная SHAANXI DZ9114160026;CK8203;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000127424;CREATEK-VG1540080110;CREATEK;VG1540080110;Фильтр топливный тонкой очистки FAW, DongFeng Евро-3 HOWO A7 D12;VG1540080110;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000127685;CREATEK-WG9100440027;CREATEK;WG9100440027;Накладка тормозная передняя короткая 6 отв. (Ф10 ширина160) качество Createk;WG9100440027;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000127730;CREATEK-CK8160;CREATEK;CK8160;Пневмогидроусилитель (ПГУ) WG9114230023 HOWO;CK8160;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
000454304;CREATEK-CK-DZ9100716009;CREATEK;CK-DZ9100716009;Клапан электромагнитный Евро-3 SHAANXI,FOTON;CK-DZ9100716009;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001147732;CREATEK-ON-A-11003;CREATEK;ON-A-11003;Амортизатор кабины ON-A-11003 (HOWO);ON-A-11003;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001203508;CREATEK-F99660;CREATEK;F99660;Клапан КПП пониженной/повышенной передачи;F99660;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001283961;CREATEK-WG9725310020;CREATEK;WG9725310020;Крестовина;WG9725310020;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001390403;CREATEK-19109c01032;CREATEK;19109c01032;Сальник КПП задний (95,25х114х8) и (95,25х114х12);19109c01032;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001408986;CREATEK-WG1642440088;CREATEK;WG1642440088;Амортизатор кабины задний (винтовая пружина ) A7;WG1642440088;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001573385;CREATEK-47620;CREATEK;47620;Подшипник дифференциала (d=82.55);47620;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001594121;CREATEK-CK8173;CREATEK;CK8173;Подшипник 32310F;CK8173;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001594122;CREATEK-33216x21;CREATEK;33216x21;Подшипник CK8602;33216x21;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001594192;CREATEK-26013314030-75;CREATEK;26013314030-75;Подшипник подвесной 4 отверстия 75mm CREATE;26013314030-75;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001600617;CREATEK-JS180A17010403;CREATEK;JS180A17010403;Крышка КПП первичного вала DONG FENG (D=60 H=165);JS180A17010403;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001604280;CREATEK-612630120005;CREATEK;612630120005;Прокладка коллектора впуск;612630120005;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001610196;CREATEK-WG1642430283;CREATEK;WG1642430283;Амортизатор кабины HOWO A7 передний;WG1642430283;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001631121;CREATEK-VG14090067;CREATEK;VG14090067;Датчик температуры охлаждающей жидкости;VG14090067;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001632521;CREATEK-BJ130C;CREATEK;BJ130C;Крестовина CREATEK (CK8830);BJ130C;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001645818;CREATEK-k2841;CREATEK;k2841;Фильтр воздушный;k2841;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001660450;CREATEK-WG9725190102/3;CREATEK;WG9725190102/3;Фильтр воздушный комплект;WG9725190102/3;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001661972;CREATEK-WG9925550966;CREATEK;WG9925550966;Фильтр грубой очистки топлива Sitrak C7H, HOWO T5G;WG9925550966;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001662411;CREATEK-CK8538B;CREATEK;CK8538B;Накладка тормозная задняя SHACMAN F3000 (комплект на ось) с заклепками;CK8538B;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001664487;CREATEK-5001320A01;CREATEK;5001320A01;Амортизатор кабины задний  FAW J6  5001320-A01-C00;5001320A01;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001664689;CREATEK-612630040007;CREATEK;612630040007;Прокладка крышки клапанов WP12;612630040007;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001664718;CREATEK-612630080205;CREATEK;612630080205;Фильтр топливный Евро3 грубой очистки;612630080205;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665547;CREATEK-CKWG1642440021;CREATEK;CKWG1642440021;Амортизатор кабины горизонтальный качество Createk  CKWG1642440021;CKWG1642440021;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665551;CREATEK-VG1500060050;CREATEK;VG1500060050;Насос водяной Евро2 качество Createk;VG1500060050;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665552;CREATEK-VG1500061202;CREATEK;VG1500061202;Термостат 80°С без корпуса качество Createk;VG1500061202;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665575;CREATEK-CKAZ1642430385/285;CREATEK;CKAZ1642430385/2;Амортизатор регулируемый передней подвески в сборе SITRAK;CKAZ1642430385/285;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665576;CREATEK-CK8095;CREATEK;CK8095;Амортизатор регулируемый передней подвески в сборе SITRAK;CK8095;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665583;CREATEK-CK8092;CREATEK;CK8092;Амортизатор кабины передний SHACMAN F2000-F3000;CK8092;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
